country,description,designation,points,price,province,region_1,region_2,variety,winery
New Zealand,"An obvious, unsubtle Chardonnay that flashes peaches, pineapple and tropical fruit on a curvaceous frame, then turns tart and citrusy on the finish. Imported by Pernod Ricard.",Unoaked,85,12.0,Gisborne,,,Chardonnay,Brancott
Italy,"Coffee bean, leather and tobacco tones are surrounded by delicate aromas of wild berry, violet and spice. The tannins are tight and bone dry, making for a good pairing with cheese fondue.",Braja Riserva,87,,Piedmont,Roero,,Nebbiolo,Deltetto
Portugal,"Bottled in June 2009, nearly four years after harvest, this is a limited production wine. It has great structure, tannin and beautiful ripe fruits. With a perfumed black-currant character, it is ready to drink now, but its tannins suggest aging potential.",Quinta do Mourão Rio Bom Colheita,91,25.0,Douro,,,Portuguese Red,Mário Braga
Chile,"Dusty, mild red fruit aromas bring hints of flowers, sucking candy and vanilla cream. The palate is bouncy, with lively but herbal raspberry and plum flavors. Finishes dry enough, with touches of vanilla, spice and bramble.",Reserva,84,10.0,Colchagua Valley,,,Merlot,Santa Carolina
US,"The most massive, dense and ageworthy of all the Sparkman reds, this Kingpin Cabernet is a barrel selection of the darkest, deepest wines in the cellar. Almost pure cassis fruit is matched to a firm, steely spine. Tannins are strong but not heavy, and the aging in two thirds new wood has not turned the wine terribly oaky. Hints of rock, tobacco and earth promise more flavor development over the next decade.",Kingpin,92,56.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Sparkman
US,"Very much right-bank Bordeaux, with rich aromas of damp humus and tobacco. Then it turns smooth and plush in the mouth with a degree of ripeness that's decidedly New World. Finishes with a touch of toasty oak and decent acidity, but not much tannin. Drink over the next few years.",Sogno,88,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Di Stefano
US,"If this Syrah was from Napa, or even Sonoma, it would cost a lot more. It's really good, with fine tannins framing delicious, complex flavors of ripe berries, cured meats, peppery spices and smoky sandalwood. Sophisticated and elegant, it's worth a special search. Only 476 cases were produced.",,92,25.0,California,Paso Robles,Central Coast,Syrah,Falcone
Austria,"A blend of local grapes (Zierfandler and Rotgipfler) this is impressive. Rich, perfumed, its fragrant fruits a medley of mulberry, pear and spiced apple. The acidity cuts right through, giving a wine that is both very ripe, balanced and finely textured. Screwcap.",Schell Mann in Gumpoldskirchen,92,24.0,Thermenregion,,,Austrian white blend,Loimer
France,"Relatively closed up at this stage, not giving much, this wine is all about freshness, poised but rich fruit and a structure that suggests long-term development. The wood is quite prominent, overshadowing what will be delicious yellow-fruit flavors. Come back to this wine in five years—it will be magnificent.",Genevrières Premier Cru,94,102.0,Burgundy,Meursault,,Chardonnay,Morey-Blanc
Argentina,"Jammy stuff, with hints of mint, leather and cotton candy. The palate is basic, with adequate structure and nicely presented berry fruit as well as herbal accents. Sweet on the finish, with some sugary stickiness. Gets better with time in the glass.",Serie Terra Roble,86,10.0,Mendoza Province,Mendoza,,Malbec,Viniterra
Italy,"Mildly baked on the nose, with aromas of fired clay, roast plum and fresh tomato. It maintains a heavy, roasted personality through the palate, which is carried by plum and raspberry, all the way to the savory finish. Registers as a wide, tannic red with bulk.",Riserva,87,23.0,Tuscany,Chianti Classico,,Sangiovese,Marchesi Cattaneo di Belforte
US,"Riverbench's regular estate Pinot Noir, as opposed to their excellent Mesa reserve, has struggled over the years, and this '09 continues that pattern. It's elegantly structured, but somewhat underripe, with an asparagus edge to the raspberries, cherries and sweet oak.",Estate,86,28.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Riverbench
US,"A little unbalanced, with a soft, melted structure housing slightly sweet, candied cherry flavors, along with olives and sage. Finishes with some sharpness. Drink now.",,84,22.0,California,Paso Robles,Central Coast,Syrah,Minassian-Young
US,"This is the richest of Diatom's 2009 unoaked Chards. It's wildly expressive in tangerines, white truffles and honey, braced with a pleasing minerality. The alcohol is quite high, but an integral part of the wine's oily, glyceriney mouthfeel.",Huber Vineyard,94,48.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Diatom
US,"Still sorting itself out, it matches tart cranberry fruit to an astringent, tannic finish with highlights of espresso. More time in bottle may soften up some of the rough edges.",Runway,87,18.0,Washington,Yakima Valley,Columbia Valley,Merlot,Airfield Estates
Italy,"Extracted and sophisticated, this biodynamic expression of Cabernet Franc opens with compelling aromas of ripe cherry, blackberry, rum cake, toasted nut, chocolate and tobacco. The rich, smooth mouthfeel is velvety and long lasting.",,94,80.0,Tuscany,Toscana,,Cabernet Franc,Duemani
France,"This offers soft, ripe fruit with acidity, delicious forward tannins and cherry flavors. Bright and fruity, the wine is ready to drink.",,86,20.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Pezat
US,"The thinking with this Merlot-based Bordeaux blend seems to have been, if ripeness is good, then superripeness is better. And we might as well throw on a ton of new French oak. The result is excess, imbalance.",Angels' Peak,82,50.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Terlato
Chile,"This is a restrained Cabernet, with spicy aromas of cherry and plum. It feels fresh, clean and juicy, with a balanced mix of herb, cherry and red berry flavors. The finish is tight, focused and fresh, with herbal shadings.",Columbine Special Reserve Single Vineyard,87,18.0,Colchagua Valley,,,Cabernet Sauvignon,William Cole
US,"This statewide blend stands up well against far more expensive Chardonnays. It's rich and crisp in acidity, with tropical fruit, pear and peach flavors, as well as a generous coating of oak and buttercream. Easy to find, with nearly 11,000 cases produced.",Votre Sante,90,14.0,California,California,California Other,Chardonnay,Francis Ford Coppola
Germany,"Lithe and streamlined, with spare fruit aboard a minerally frame. Kerosene and petrol notes dominate, ending with a burst of fresh lime-like flavors.",Monzinger Frühlingsplätzchen Spätlese,87,38.0,Nahe,,,Riesling,Emrich-Schonleber
Argentina,"A good value Cabernet from Argentina? You bet. This one smells like a bowl full of berries touched up with spice, vanilla and leather. It's fresh and ripe in the mouth, with flavors of blackberry jam and nutmeg. Smooth on the finish, it gets things right without pushing the envelope.",Select,87,11.0,Mendoza Province,Mendoza,,Cabernet Sauvignon,Trivento
Germany,"A dry, stony, somewhat neutral wine, marked by crisp acids and vaguely apple-y fruit. The crispnesss and austerity would make it a fine foil for creamy or oily fish dishes.",Trocken,85,24.0,Mosel-Saar-Ruwer,,,Riesling,Fritz Haag
France,"Round and ripe, this is a balanced, complex and perfumed wine. With its acidity beautifully in place, it is fresh while also having some spice, toast and minerality. Drink from 2017.",,89,40.0,Burgundy,Marsannay,,Chardonnay,Domaine Huguenot
US,"A great, inexpensive example of Lake County's prowess at Sauvignon Blanc, this wine is marked by grapefruit and kiwi throughout and a creamy opulence that should appeal to a wide range of palates and plates.",Dancing Crow Vineyard,88,14.0,California,Lake County,Mendocino/Lake Counties,Sauvignon Blanc,Cartlidge & Browne
US,"One of the most successful Bordeaux blends to come out of Sonoma Valley lately, this wine is dry and earthy, providing a nice alternative to today's super-fruity, overripe style. It has rewarding cherry, blackberry, red currant, mocha and licorice flavors, balanced with rich tannins. Really stylish for drinking now.",Serres Ranch,91,20.0,California,Sonoma Valley,Sonoma,Bordeaux-style Red Blend,Highway 12
US,"A big-boy Syrah named for the producer's daughter, this is a jammy, juicy, brown sugar and maple syrup kind of Syrah, with a great peppery nose and a lot of bacon fat flavors intermingled among the soft tannins.",Farrah,86,20.0,California,Lodi,Central Valley,Syrah,Klinker Brick
US,"From a warmish Monterey County appellation comes this soft, creamy Chard. It has pretty flavors of very ripe white peaches and apricots, drizzled with vanilla, and seems a little sweet.",Estate,85,22.0,California,Carmel Valley,Central Coast,Chardonnay,Heller Estate
US,"The vineyard is 1,800 feet up the mountain and the wine was made by Randy Dunn's (Dunn Vineyards) son, Mike. Howell Mountain produces some of California's densest, most ageworthy red wines, and this big, dry, tannic Pet is a sure cellar candidate. Packed with blackberry, coffee, plum, leather and spice flavors, it should start to open up by 2009 and improve for several years after.",,92,40.0,California,Howell Mountain,Napa,Petite Sirah,Retro
France,"A lean, too tannic wine that shows black currant acidity, almost austere in its dry character. There is good density as well, that promises a year or two of aging before opening up.",,85,11.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Bellevue
US,"Dry and rich, with bracing acids and minerals, this has complex pineapple, pear and buttercream flavors. It's lovely to drink now.",Sebella,90,36.0,California,Sonoma Valley,Sonoma,Chardonnay,Hanzell
US,"A very rich wine—this has a warm, soft mouthfeel and ripe, jammy flavors enhanced with oak. Except for the heat, it's a lovely wine. Drink now.",Isoceles Reserve,88,98.0,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Justin
US,"Satisfies the basic Port requirements of sweetness, firm tannins and crisp acidity. Quite good in blackberry, black currant liqueur and chocolate flavors. Needs an extra layer of richness and complexity, though.",,88,35.0,California,California,California Other,Port,Meyer Family Cellars
Italy,Bellussi's Extra Dry Prosecco is exceedingly smooth and easygoing thanks to the impressive creaminess of its texture. There's a playful touch of sweetness here that is reinforced by fragrant aromas of lemon blossom and white peach.,Extra Dry,86,13.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Bellussi
US,"This is the most accessible, most interesting and most compelling of Sbragia's new Cabernets. It's extraordinarily powerful in the potent, sweetly refined tannins and ripe flavors of blackberries and cassis, leading to a long, rich finish. You can drink it now, but it will age effortlessly for a good 8–10 years.",Rancho Del Oso,95,75.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Sbragia
Italy,"This very interesting expression of Sangiovese is light in color but bursting with small berry and floral fragrances. The wine does a lovely job of showing the elegant, feminine side of this Tuscan grape variety.",Palazzo Altesi,90,40.0,Tuscany,Toscana,,Sangiovese,Altesino
France,"A rich, lushly textured wine made from 100% Marsanne that's barrel fermented, but with the malolactic fermentation blocked. Notes of oranges and apricots lead the way, with an appealing hint of almond. Easy to drink.",,88,,Rhône Valley,Hermitage,,Marsanne,Cave de Tain
New Zealand,"Full bodied and richly textured, this starts off with jammy mixed-berry aromas framed by cedar, vanilla and a touch of pepper, but the palate shows even more complexity and savory characters, hinting at meat, olive and clove. Long and velvety on the finish, the 2009 Deerstalkers is a compelling example of Hawke's Bay Syrah",Deerstalkers,93,,Hawke's Bay,,,Syrah,Sacred Hill
Spain,A ripe fruity set of berry and cassis aromas shows a slight hint of raisin. This is a stacked saturated wine with raw tannins and plenty of power. Blackberry and earthy notes finish stout and compact: this doesn't vary or waver on the back end. Best from 2019–2026.,Imperial Reserva,93,44.0,Northern Spain,Rioja,,Tempranillo Blend,CVNE
Australia,"This Chardonnay is a glowing-gold color, and its further impressions live up to the expectation that you get from its appearance: buttery/nutty aromas, and a buttery texture. Structure and concentration are also not strengths here. Very expensive for what's in the bottle. 2,000 cases produced. Imported by Aussie Imports.",The Enclosure,82,30.0,Victoria,Mornington Peninsula,,Chardonnay,Box Stallion
